ID;CourseID;Number;SpecificationAbb;Edition;EditionOrder;Year;Type;StarValue;Remark
253;22;26;BR;3;1;;PT;1;
254;22;27;BR;3;1;;PT;1;
255;22;28;BR;3;1;;PT;1;
256;22;29;BR;3;1;;PT;1;
257;22;30;BR;3;1;;PT;1;
258;22;31;BR;3;1;;PT;1;
259;22;32;BR;3;1;;PT;1;
260;22;33;BR;3;1;;PT;1;
261;22;34;BR;3;1;;PT;1;
262;22;35;BR;3;1;;PT;1;
263;22;36;BR;3;1;;PT;1;
264;23;37;MA;3;1;;PT;1;
265;23;38;MA;3;1;;PT;1;
266;23;39;MA;3;1;;PT;1;
267;23;40;MA;3;1;;PT;1;
268;23;41;MA;3;1;;PT;1;
269;23;42;MA;3;1;;PT;1;
270;23;43;MA;3;1;;PT;1;
271;23;44;MA;3;1;;PT;1;
272;23;45;MA;3;1;;PT;1;
273;23;46;MA;3;1;;PT;1;
274;23;47;MA;3;1;;PT;1;
275;23;48;MA;3;1;;PT;1;
276;24;37;EN;3;1;;PT;1;
277;24;38;EN;3;1;;PT;1;
278;24;39;EN;3;1;;PT;1;
279;24;40;EN;3;1;;PT;1;
280;24;41;EN;3;1;;PT;1;
281;24;42;EN;3;1;;PT;1;
282;24;43;EN;3;1;;PT;1;
283;24;44;EN;3;1;;PT;1;
284;24;45;EN;3;1;;PT;1;
285;24;46;EN;3;1;;PT;1;
286;24;47;EN;3;1;;PT;1;
287;24;48;EN;3;1;;PT;1;
288;25;37;WB;3;1;;PT;1;
289;25;38;WB;3;1;;PT;1;
290;25;39;WB;3;1;;PT;1;
291;25;40;WB;3;1;;PT;1;
292;25;41;WB;3;1;;PT;1;
293;25;42;WB;3;1;;PT;1;
294;25;43;WB;3;1;;PT;1;
295;25;44;WB;3;1;;PT;1;
296;25;45;WB;3;1;;PT;1;
297;25;46;WB;3;1;;PT;1;
298;25;47;WB;3;1;;PT;1;
299;25;48;WB;3;1;;PT;1;
300;26;37;LC;3;1;;PT;1;
301;26;38;LC;3;1;;PT;1;
302;26;39;LC;3;1;;PT;1;
303;26;40;LC;3;1;;PT;1;
304;26;41;LC;3;1;;PT;1;
305;26;42;LC;3;1;;PT;1;
306;26;43;LC;3;1;;PT;1;
307;26;44;LC;3;1;;PT;1;
308;26;45;LC;3;1;;PT;1;
309;26;46;LC;3;1;;PT;1;
310;26;47;LC;3;1;;PT;1;
311;26;48;LC;3;1;;PT;1;
312;27;37;SC;3;1;;PT;1;
313;27;38;SC;3;1;;PT;1;
314;27;39;SC;3;1;;PT;1;
315;27;40;SC;3;1;;PT;1;
316;27;41;SC;3;1;;PT;1;
317;27;42;SC;3;1;;PT;1;
318;27;43;SC;3;1;;PT;1;
319;27;44;SC;3;1;;PT;1;
320;27;45;SC;3;1;;PT;1;
321;27;46;SC;3;1;;PT;1;
322;27;47;SC;3;1;;PT;1;
323;27;48;SC;3;1;;PT;1;
324;28;37;SS;3;1;;PT;1;
325;28;38;SS;3;1;;PT;1;
326;28;39;SS;3;1;;PT;1;
327;28;40;SS;3;1;;PT;1;
328;28;41;SS;3;1;;PT;1;
329;28;42;SS;3;1;;PT;1;
330;28;43;SS;3;1;;PT;1;
331;28;44;SS;3;1;;PT;1;
332;28;45;SS;3;1;;PT;1;
333;28;46;SS;3;1;;PT;1;
334;28;47;SS;3;1;;PT;1;
335;28;48;SS;3;1;;PT;1;
336;29;37;BR;3;1;;PT;1;
337;29;38;BR;3;1;;PT;1;
338;29;39;BR;3;1;;PT;1;
339;29;40;BR;3;1;;PT;1;
340;29;41;BR;3;1;;PT;1;
341;29;42;BR;3;1;;PT;1;
342;29;43;BR;3;1;;PT;1;
343;29;44;BR;3;1;;PT;1;
344;29;45;BR;3;1;;PT;1;
345;29;46;BR;3;1;;PT;1;
346;29;47;BR;3;1;;PT;1;
347;29;48;BR;3;1;;PT;1;
348;30;49;MA;3;1;;PT;1;
349;30;50;MA;3;1;;PT;1;
350;30;51;MA;3;1;;PT;1;
351;30;52;MA;3;1;;PT;1;
352;30;53;MA;3;1;;PT;1;
353;30;54;MA;3;1;;PT;1;
354;30;55;MA;3;1;;PT;1;
355;30;56;MA;3;1;;PT;1;
356;30;57;MA;3;1;;PT;1;
357;30;58;MA;3;1;;PT;1;
358;30;59;MA;3;1;;PT;1;
359;30;60;MA;3;1;;PT;1;
360;31;49;EN;3;1;;PT;1;
361;31;50;EN;3;1;;PT;1;
362;31;51;EN;3;1;;PT;1;
363;31;52;EN;3;1;;PT;1;
364;31;53;EN;3;1;;PT;1;
365;31;54;EN;3;1;;PT;1;
366;31;55;EN;3;1;;PT;1;
367;31;56;EN;3;1;;PT;1;
368;31;57;EN;3;1;;PT;1;
369;31;58;EN;3;1;;PT;1;
370;31;59;EN;3;1;;PT;1;
371;31;60;EN;3;1;;PT;1;
372;32;49;WB;3;1;;PT;1;
373;32;50;WB;3;1;;PT;1;
374;32;51;WB;3;1;;PT;1;
375;32;52;WB;3;1;;PT;1;
376;32;53;WB;3;1;;PT;1;
377;32;54;WB;3;1;;PT;1;
378;32;55;WB;3;1;;PT;1;
379;32;56;WB;3;1;;PT;1;
380;32;57;WB;3;1;;PT;1;
381;32;58;WB;3;1;;PT;1;
382;32;59;WB;3;1;;PT;1;
383;32;60;WB;3;1;;PT;1;
384;33;49;LC;3;1;;PT;1;
385;33;50;LC;3;1;;PT;1;
386;33;51;LC;3;1;;PT;1;
387;33;52;LC;3;1;;PT;1;
388;33;53;LC;3;1;;PT;1;
389;33;54;LC;3;1;;PT;1;
390;33;55;LC;3;1;;PT;1;
391;33;56;LC;3;1;;PT;1;
392;33;57;LC;3;1;;PT;1;
393;33;58;LC;3;1;;PT;1;
394;33;59;LC;3;1;;PT;1;
395;33;60;LC;3;1;;PT;1;
396;34;49;SC;3;1;;PT;1;
397;34;50;SC;3;1;;PT;1;
398;34;51;SC;3;1;;PT;1;
399;34;52;SC;3;1;;PT;1;
400;34;53;SC;3;1;;PT;1;
401;34;54;SC;3;1;;PT;1;
402;34;55;SC;3;1;;PT;1;
403;34;56;SC;3;1;;PT;1;
404;34;57;SC;3;1;;PT;1;
405;34;58;SC;3;1;;PT;1;
406;34;59;SC;3;1;;PT;1;
407;34;60;SC;3;1;;PT;1;
408;35;49;SS;3;1;;PT;1;
409;35;50;SS;3;1;;PT;1;
410;35;51;SS;3;1;;PT;1;
411;35;52;SS;3;1;;PT;1;
412;35;53;SS;3;1;;PT;1;
413;35;54;SS;3;1;;PT;1;
414;35;55;SS;3;1;;PT;1;
415;35;56;SS;3;1;;PT;1;
416;35;57;SS;3;1;;PT;1;
417;35;58;SS;3;1;;PT;1;
418;35;59;SS;3;1;;PT;1;
419;35;60;SS;3;1;;PT;1;
420;36;49;BR;3;1;;PT;1;
421;36;50;BR;3;1;;PT;1;
422;36;51;BR;3;1;;PT;1;
423;36;52;BR;3;1;;PT;1;
424;36;53;BR;3;1;;PT;1;
425;36;54;BR;3;1;;PT;1;
426;36;55;BR;3;1;;PT;1;
427;36;56;BR;3;1;;PT;1;
428;36;57;BR;3;1;;PT;1;
429;36;58;BR;3;1;;PT;1;
430;36;59;BR;3;1;;PT;1;
431;36;60;BR;3;1;;PT;1;
432;37;61;MA;3;1;;PT;1;
433;37;62;MA;3;1;;PT;1;
434;37;63;MA;3;1;;PT;1;
435;37;64;MA;3;1;;PT;1;
436;37;65;MA;3;1;;PT;1;
437;37;66;MA;3;1;;PT;1;
438;37;67;MA;3;1;;PT;1;
439;37;68;MA;3;1;;PT;1;
440;37;69;MA;3;1;;PT;1;
441;37;70;MA;3;1;;PT;1;
442;37;71;MA;3;1;;PT;1;
443;37;72;MA;3;1;;PT;1;
444;38;61;EN;3;1;;PT;1;
445;38;62;EN;3;1;;PT;1;
446;38;63;EN;3;1;;PT;1;
447;38;64;EN;3;1;;PT;1;
448;38;65;EN;3;1;;PT;1;
449;38;66;EN;3;1;;PT;1;
450;38;67;EN;3;1;;PT;1;
451;38;68;EN;3;1;;PT;1;
452;38;69;EN;3;1;;PT;1;
453;38;70;EN;3;1;;PT;1;
454;38;71;EN;3;1;;PT;1;
455;38;72;EN;3;1;;PT;1;
456;39;61;WB;3;1;;PT;1;
457;39;62;WB;3;1;;PT;1;
458;39;63;WB;3;1;;PT;1;
459;39;64;WB;3;1;;PT;1;
460;39;65;WB;3;1;;PT;1;
461;39;66;WB;3;1;;PT;1;
462;39;67;WB;3;1;;PT;1;
463;39;68;WB;3;1;;PT;1;
464;39;69;WB;3;1;;PT;1;
465;39;70;WB;3;1;;PT;1;
466;39;71;WB;3;1;;PT;1;
467;39;72;WB;3;1;;PT;1;
468;40;61;LC;3;1;;PT;1;
469;40;62;LC;3;1;;PT;1;
470;40;63;LC;3;1;;PT;1;
471;40;64;LC;3;1;;PT;1;
472;40;65;LC;3;1;;PT;1;
473;40;66;LC;3;1;;PT;1;
474;40;67;LC;3;1;;PT;1;
475;40;68;LC;3;1;;PT;1;
476;40;69;LC;3;1;;PT;1;
477;40;70;LC;3;1;;PT;1;
478;40;71;LC;3;1;;PT;1;
479;40;72;LC;3;1;;PT;1;
480;41;61;SC;3;1;;PT;1;
481;41;62;SC;3;1;;PT;1;
482;41;63;SC;3;1;;PT;1;
483;41;64;SC;3;1;;PT;1;
484;41;65;SC;3;1;;PT;1;
485;41;66;SC;3;1;;PT;1;
486;41;67;SC;3;1;;PT;1;
487;41;68;SC;3;1;;PT;1;
488;41;69;SC;3;1;;PT;1;
489;41;70;SC;3;1;;PT;1;
490;41;71;SC;3;1;;PT;1;
491;41;72;SC;3;1;;PT;1;
492;42;61;SS;3;1;;PT;1;
493;42;62;SS;3;1;;PT;1;
494;42;63;SS;3;1;;PT;1;
495;42;64;SS;3;1;;PT;1;
496;42;65;SS;3;1;;PT;1;
497;42;66;SS;3;1;;PT;1;
498;42;67;SS;3;1;;PT;1;
499;42;68;SS;3;1;;PT;1;
500;42;69;SS;3;1;;PT;1;
501;42;70;SS;3;1;;PT;1;
502;42;71;SS;3;1;;PT;1;
503;42;72;SS;3;1;;PT;1;
504;43;61;BR;3;1;;PT;1;
505;43;62;BR;3;1;;PT;1;
506;43;63;BR;3;1;;PT;1;
507;43;64;BR;3;1;;PT;1;
508;43;65;BR;3;1;;PT;1;
509;43;66;BR;3;1;;PT;1;
510;43;67;BR;3;1;;PT;1;
511;43;68;BR;3;1;;PT;1;
512;43;69;BR;3;1;;PT;1;
513;43;70;BR;3;1;;PT;1;
514;43;71;BR;3;1;;PT;1;
515;43;72;BR;3;1;;PT;1;
516;44;73;MA;3;1;;PT;1;
517;44;74;MA;3;1;;PT;1;
518;44;75;MA;3;1;;PT;1;
519;44;76;MA;3;1;;PT;1;
520;44;77;MA;3;1;;PT;1;
521;44;78;MA;3;1;;PT;1;
522;44;79;MA;3;1;;PT;1;
523;44;80;MA;3;1;;PT;1;
524;44;81;MA;3;1;;PT;1;
525;44;82;MA;3;1;;PT;1;
526;44;83;MA;3;1;;PT;1;
527;44;84;MA;3;1;;PT;1;
528;45;73;EN;3;1;;PT;1;
529;45;74;EN;3;1;;PT;1;
530;45;75;EN;3;1;;PT;1;
531;45;76;EN;3;1;;PT;1;
532;45;77;EN;3;1;;PT;1;
533;45;78;EN;3;1;;PT;1;
534;45;79;EN;3;1;;PT;1;
535;45;80;EN;3;1;;PT;1;
536;45;81;EN;3;1;;PT;1;
537;45;82;EN;3;1;;PT;1;
538;45;83;EN;3;1;;PT;1;
539;45;84;EN;3;1;;PT;1;
540;46;73;BA;3;1;;PT;1;
541;46;74;BA;3;1;;PT;1;
542;46;75;BA;3;1;;PT;1;
543;46;76;BA;3;1;;PT;1;
544;46;77;BA;3;1;;PT;1;
545;46;78;BA;3;1;;PT;1;
546;46;79;BA;3;1;;PT;1;
547;46;80;BA;3;1;;PT;1;
548;46;81;BA;3;1;;PT;1;
549;46;82;BA;3;1;;PT;1;
550;46;83;BA;3;1;;PT;1;
551;46;84;BA;3;1;;PT;1;
552;47;73;WB;3;1;;PT;1;
553;47;74;WB;3;1;;PT;1;
554;47;75;WB;3;1;;PT;1;
555;47;76;WB;3;1;;PT;1;
556;47;77;WB;3;1;;PT;1;
557;47;78;WB;3;1;;PT;1;
558;47;79;WB;3;1;;PT;1;
559;47;80;WB;3;1;;PT;1;
560;47;81;WB;3;1;;PT;1;
561;47;82;WB;3;1;;PT;1;
562;47;83;WB;3;1;;PT;1;
563;47;84;WB;3;1;;PT;1;
564;48;74;LC;3;1;;PT;1;
565;48;75;LC;3;1;;PT;1;
566;48;76;LC;3;1;;PT;1;
567;48;77;LC;3;1;;PT;1;
568;48;78;LC;3;1;;PT;1;
569;48;79;LC;3;1;;PT;1;
