ID,Name,Alias,ICCE-Alias,Level,SubjectID,Remarks,Specification,SubjectGroupID,CourseType,Course,PassThreshold,Status
96,,Auto Mechanics,,10,10,,AM,3,Further Credit Option,Auto Mechanics,0.8,
97,,ICT Course,,10,10,From approved list,IC,3,Further Credit Option,ICT Course,0.8,
98,,Algebra II,,11,1,,AL,2,Core,Algebra II,0.8,
99,,British Literature,,11,4,,BL,2,Core,British Literature,0.8,
100,,Dutch Language Staatsexamen HAVO,,11,2,"Staatsexamen Havo, where is VWO?",NL,2,Core,Dutch Language Staatsexamen HAVO,0.8,
101,,English III,,11,2,,EN,2,Core,English III,0.8,
102,,ICCE Literature 10 Part 1,,10,4,"Beide vakken hebben dezelfde naam. Specification is niet duidelijk, is moeilijk met twee karakters. Beter is ""I10"" vs ""I09"". ",I1,2,Further Credit Option,ICCE Literature 10 Part 1,0.8,
103,,ICCE Literature 10,,10,4,Overlap with the previous one and the same name,I1,2,Further Credit Option,ICCE Literature 10,0.8,
104,,N.T. Greek I,,11,2,,GR,2,Further Credit Option,N.T. Greek I,0.8,
105,Science 11,Chemistry,,11,5,,CH,2,Core,Science Level 11,0.8,
106,Basic New Testament Church History,New Testament Church History,ICCE-C26,12,7,,NC,1,Core,New Testament Church History,0.8,
107,,Accounting (US),,12,1,,AC,3,Further Credit Option,Accounting (US),0.8,
108,Basic Mathematics I,College Maths I,,12,1,,CM,2,Further Credit Option,College Maths I,0.8,
109,Basic Mathematics II Precalculus,College Maths II,,12,1,,CM,2,Further Credit Option,College Maths II,0.8,
110,,Higher Maths,,12,1,,HM,2,Further Credit Option,Higher Maths,0.8,
111,,Trigonometry,,12,1,,TR,2,Further Credit Option,Trigonometry,0.8,
112,,English Composition II,,12,2,Where is English Composition I?,EC,2,Further Credit Option,English Composition II,0.8,
113,,English IV,,12,2,mogelijk English IV te kiezen als III nog niet gedaan is? ,EN,2,Core,English IV,0.8,
114,,N.T. Greek II,,12,2,Nieuwe nummering?,GR,2,Further Credit Option,N.T. Greek II,0.8,
115,,Music Theory/Performance Grade 7/8,,12,10,,MT,3,Further Credit Option,Music Theory/Performance Grade 7/8,0.8,
116,Basic Intro. to Physical Science,College Physical Science,,12,5,,CP,2,Further Credit Option,College Physical Science,0.8,
117,Science 12,Physics,,12,5,,PH,2,Further Credit Option,Science Level 12,0.8,
118,,American History,Social Studies I-A,8,6,Credit Option,AH,2,Further Credit Option,Social Studies Level 8 American History,0.8,
119,Civics and Economics,Civics and Economics,,12,6,Is een combinatie van twee vakken,CE,2,Further Credit Option,Social Studies Level 12,0.8,
120,,Collectivism,,12,6,Over communisme en zo,CO,1,Further Credit Option,Social Studies Level 12 Collectivism,0.8,
121,History of Civilisation II,History of Civilisation II,,11,6,"Dit staat ook onder FCO, maar is verplicht!?",HC,2,Core,Social Studies Level 11,0.8,
122,,US Constitution,,12,6,,UC,2,Further Credit Option,Social Studies Level 12 US Constitution,0.8,
